cod_distr;grupo_ipvs;n_pessoas;n_domicilios;n_setor
355030878;Baixíssima Vulnerabilidade;401;168;1
355030878;Muito Baixa Vulnerabilidade;6173;2755;23
355030878;Baixa Vulnerabilidade;14493;6543;43
355030878;Média Vulnerabilidade;0;0;0
355030878;Alta Vulnerabilidade;1553;666;7
355030878;Muito Alta Vulnerabilidade;0;0;0
355030879;Baixíssima Vulnerabilidade;4277;1622;8
355030879;Muito Baixa Vulnerabilidade;27164;10427;58
355030879;Baixa Vulnerabilidade;3854;1608;5
355030879;Média Vulnerabilidade;427;145;1
355030879;Alta Vulnerabilidade;0;0;0
355030879;Muito Alta Vulnerabilidade;2123;753;7
355030880;Baixíssima Vulnerabilidade;63050;25690;161
355030880;Muito Baixa Vulnerabilidade;27440;11659;76
355030880;Baixa Vulnerabilidade;6304;2760;13
355030880;Média Vulnerabilidade;0;0;0
355030880;Alta Vulnerabilidade;0;0;0
355030880;Muito Alta Vulnerabilidade;883;293;1
355030881;Baixíssima Vulnerabilidade;6620;2436;15
355030881;Muito Baixa Vulnerabilidade;78514;28106;150
355030881;Baixa Vulnerabilidade;14689;5283;28
355030881;Média Vulnerabilidade;8272;2964;16
355030881;Alta Vulnerabilidade;17247;5880;32
355030881;Muito Alta Vulnerabilidade;69012;23291;119
355030882;Baixíssima Vulnerabilidade;16507;6644;37
355030882;Muito Baixa Vulnerabilidade;77827;30496;153
355030882;Baixa Vulnerabilidade;4406;1822;8
355030882;Média Vulnerabilidade;0;0;0
355030882;Alta Vulnerabilidade;0;0;0
355030882;Muito Alta Vulnerabilidade;224;76;1
355030883;Baixíssima Vulnerabilidade;78118;32584;227
355030883;Muito Baixa Vulnerabilidade;9103;3566;23
355030883;Baixa Vulnerabilidade;11277;4702;19
355030883;Média Vulnerabilidade;922;287;2
355030883;Alta Vulnerabilidade;1154;384;3
355030883;Muito Alta Vulnerabilidade;67308;24513;91
355030884;Baixíssima Vulnerabilidade;0;0;0
355030884;Muito Baixa Vulnerabilidade;72605;25405;122
355030884;Baixa Vulnerabilidade;15380;5310;27
355030884;Média Vulnerabilidade;24442;8694;39
355030884;Alta Vulnerabilidade;15263;5283;35
355030884;Muito Alta Vulnerabilidade;12386;4066;29
355030885;Baixíssima Vulnerabilidade;21780;8528;49
355030885;Muito Baixa Vulnerabilidade;63394;24204;112
355030885;Baixa Vulnerabilidade;5653;2052;11
355030885;Média Vulnerabilidade;558;236;1
355030885;Alta Vulnerabilidade;0;0;0
355030885;Muito Alta Vulnerabilidade;539;200;1
355030886;Baixíssima Vulnerabilidade;12429;4984;26
355030886;Muito Baixa Vulnerabilidade;34344;13131;68
355030886;Baixa Vulnerabilidade;3562;1426;8
355030886;Média Vulnerabilidade;0;0;0
355030886;Alta Vulnerabilidade;0;0;0
355030886;Muito Alta Vulnerabilidade;1186;438;3
355030887;Baixíssima Vulnerabilidade;352;165;1
355030887;Muito Baixa Vulnerabilidade;62586;22546;121
355030887;Baixa Vulnerabilidade;15882;5453;28
355030887;Média Vulnerabilidade;9715;3311;18
355030887;Alta Vulnerabilidade;11870;4061;26
355030887;Muito Alta Vulnerabilidade;33392;10930;56
355030888;Baixíssima Vulnerabilidade;33147;13562;94
355030888;Muito Baixa Vulnerabilidade;7705;3162;26
355030888;Baixa Vulnerabilidade;1455;760;4
355030888;Média Vulnerabilidade;150;42;1
355030888;Alta Vulnerabilidade;1252;414;2
